county,state,year,fat_amount
Penobscot,ME,2000,332
Tuscaloosa,AL,2000,332
Lee,MS,2000,330
Bibb,GA,2000,330
Ellis,TX,2000,328
Strafford,NH,2000,328
Mesa,CO,2000,326
Jefferson,WI,2000,326
Washington,VT,2000,326
Johnson,TX,2000,326
Cabarrus,NC,2000,326
Atlantic,NJ,2000,326
Mendocino,CA,2000,326
Thurston,WA,2000,324
Cache,UT,2000,324
Lenawee,MI,2000,322
Yellowstone,MT,2000,322
Blair,PA,2000,320
Noble,IN,2000,318
Tolland,CT,2000,316
La Crosse,WI,2000,316
Clark,IN,2000,316
Martin,FL,2000,316
Allegan,MI,2000,314
Mohave,AZ,2000,314
Centre,PA,2000,312
Kitsap,WA,2000,312
Black Hawk,IA,2000,312
Burke,NC,2000,312
Lasalle,IL,2000,312
Fond Du Lac,WI,2000,312
Caldwell,NC,2000,312
Washington,RI,2000,310
Cambria,PA,2000,310
Ouachita Parish,LA,2000,310
Boone,KY,2000,308
Warren,NJ,2000,308
Grayson,TX,2000,306
Greene,OH,2000,306
Shelby,AL,2000,306
Washington,TN,2000,304
Carver,MN,2000,304
Jefferson,MO,2000,300
Allen,OH,2000,300
Lake,FL,2000,300
Kenton,KY,2000,298
Washington,MD,2000,298
Harford,MD,2000,298
Alachua,FL,2000,298
Loudoun,VA,2000,298
Cherokee,GA,2000,296
Scott,MN,2000,296
Baldwin,AL,2000,294
Licking,OH,2000,294
Porter,IN,2000,292
Kanawha,WV,2000,292
Dekalb,IL,2000,292
Douglas,OR,2000,292
Champaign,IL,2000,290
Calhoun,AL,2000,290
Muscogee,GA,2000,290
Wayne,NY,2000,290
Marshall,AL,2000,290
Sussex,DE,2000,290
Windsor,VT,2000,286
Grafton,NH,2000,286
Elk,PA,2000,284
Bartholomew,IN,2000,284
Chesapeake City,VA,2000,284
Etowah,AL,2000,284
Bay,MI,2000,282
Cleveland,OK,2000,280
Wichita,TX,2000,278
Marshall,IN,2000,278
Johnson,IN,2000,278
Shelby,OH,2000,276
Surry,NC,2000,276
Kennebec,ME,2000,274
Williamson,TN,2000,272
Saratoga,NY,2000,272
Sandusky,OH,2000,272
Florence,SC,2000,272
Putnam,TN,2000,272
Henderson,NC,2000,272
St. Lucie,FL,2000,272
Fairfield,OH,2000,272
Dubuque,IA,2000,270
Sussex,NJ,2000,270
Vigo,IN,2000,268
Carroll,GA,2000,268
Lynchburg City,VA,2000,268
Harrison,MS,2000,266
Carroll,MD,2000,266
Roanoke City,VA,2000,266
St. Croix,WI,2000,266
Tazewell,IL,2000,266
Taylor,TX,2000,266
Missoula,MT,2000,264
Shawnee,KS,2000,264
Pickens,SC,2000,262
Terrebonne Parish,LA,2000,262
Bradley,TN,2000,262
Madison,IN,2000,260
Douglas,CO,2000,260
Wayne,IN,2000,260
Pennington,SD,2000,260
Lapeer,MI,2000,258
Madison,TN,2000,258
Bay,FL,2000,258
Flathead,MT,2000,258
Rankin,MS,2000,256
Fayette,PA,2000,256
Williams,OH,2000,256
Calcasieu Parish,LA,2000,254
Josephine,OR,2000,252
Sangamon,IL,2000,252
Stanly,NC,2000,250
Hanover,VA,2000,250
Schenectady,NY,2000,250
Lewis,WA,2000,250
Desoto,MS,2000,250
Rockingham,NC,2000,250
Rogers,OK,2000,248
Hamblen,TN,2000,248
Erie,OH,2000,248
Monroe,MI,2000,248
Blount,TN,2000,248
Sherburne,MN,2000,248
Cullman,AL,2000,246
Wood,WI,2000,246
Cowlitz,WA,2000,246
Houston,AL,2000,246
Macon,IL,2000,246
Potter,TX,2000,246
Merced,CA,2000,244
Monroe,IN,2000,242
Bell,TX,2000,242
Leon,FL,2000,242
Richmond,GA,2000,242
Clayton,GA,2000,242
Franklin,MA,2000,242
Bonneville,ID,2000,240
Kankakee,IL,2000,240
Okaloosa,FL,2000,240
Dekalb,IN,2000,240
Craighead,AR,2000,240
Winona,MN,2000,238
Eau Claire,WI,2000,238
Tippecanoe,IN,2000,238
Somerset,PA,2000,238
Floyd,IN,2000,238
Muskingum,OH,2000,236
Chippewa,WI,2000,236
Waupaca,WI,2000,236
Belknap,NH,2000,234
Cumberland,NC,2000,234
Bartow,GA,2000,234
Van Buren,MI,2000,232
Monroe,PA,2000,232
St. Tammany Parish,LA,2000,232
Dona Ana,NM,2000,230
Mclean,IL,2000,230
Windham,VT,2000,230
Hawaii,HI,2000,230
Hays,TX,2000,230
Northumberland,PA,2000,230
Lauderdale,AL,2000,228
Garland,AR,2000,228
Anderson,TN,2000,228
Elbert,GA,2000,228
Benton,WA,2000,228
Rutland,VT,2000,228
Sauk,WI,2000,226
Creek,OK,2000,226
Dubois,IN,2000,226
Kaufman,TX,2000,224
Lincoln,NC,2000,224
Newport News City,VA,2000,224
Floyd,GA,2000,224
Pitt,NC,2000,222
Rensselaer,NY,2000,220
Fulton,OH,2000,220
Woodbury,IA,2000,220
Pueblo,CO,2000,218
Seneca,OH,2000,218
Delaware,OH,2000,218
Comal,TX,2000,216
Eaton,MI,2000,216
Sullivan,NH,2000,216
Christian,MO,2000,216
Dorchester,SC,2000,216
Lee,AL,2000,214
Newport,RI,2000,214
Clearfield,PA,2000,212
Fulton,NY,2000,212
Coconino,AZ,2000,212
Hillsdale,MI,2000,212
Daviess,KY,2000,212
Adams,PA,2000,212
Steuben,IN,2000,212
Maui,HI,2000,212
Wilson,TN,2000,210
Greene,TN,2000,210
Columbia,PA,2000,210
Washington,NY,2000,210
Washington,OH,2000,210
Benton,OR,2000,208
Polk,WI,2000,208
Johnston,NC,2000,206
Whiteside,IL,2000,204
Colbert,AL,2000,204
Henry,VA,2000,204
Venango,PA,2000,202
Webb,TX,2000,202
Midland,TX,2000,202
Cattaraugus,NY,2000,202
Genesee,NY,2000,202
Nash,NC,2000,202
Vermilion,IL,2000,202
Indian River,FL,2000,202
Cabell,WV,2000,202
Ashland,OH,2000,200
Crow Wing,MN,2000,200
Iberia Parish,LA,2000,200
Wicomico,MD,2000,200
Grays Harbor,WA,2000,200
Tom Green,TX,2000,198
Marinette,WI,2000,198
Lagrange,IN,2000,198
Boone,MO,2000,198
Gordon,GA,2000,198
Rutherford,NC,2000,198
Hancock,ME,2000,198
Columbia,WI,2000,198
Washington,UT,2000,196
Branch,MI,2000,196
Bristol,RI,2000,196
Robeson,NC,2000,196
Broomfield,CO,2000,196
Chemung,NY,2000,194
Aroostook,ME,2000,194
Hancock,OH,2000,194
Reno,KS,2000,194
Alexandria City,VA,2000,194
Talladega,AL,2000,194
Barron,WI,2000,194
Lowndes,GA,2000,194
Clark,WI,2000,192
Tompkins,NY,2000,192
Brazos,TX,2000,192
Jefferson,PA,2000,192
Aiken,SC,2000,192
Madera,CA,2000,192
Wilkes,NC,2000,192
Prince William,VA,2000,190
Troup,GA,2000,190
Wilson,NC,2000,190
Murray,GA,2000,190
Cape Girardeau,MO,2000,190
Chisago,MN,2000,188
Crawford,OH,2000,186
Lee,NC,2000,186
Fayette,GA,2000,186
Campbell,KY,2000,186
Moore,NC,2000,186
Blue Earth,MN,2000,186
Indiana,PA,2000,186
Oswego,NY,2000,184
Rice,MN,2000,184
Huron,OH,2000,184
