County,State,year,Factory_num,Unnamed: 0,avg(NO2 Mean),avg(O3 Mean),avg(SO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_tenyears,SO2_tenyears,O3_tenyears,Autos,Motorcycles,Trailers,Trucks,Total Vehicles
Alameda,California,2013,9000,38,16.77293117307687,0.0174714120879121,0.5037992376373628,1581226,821.26,9489,6127,953,2876,2298,3829,600.1039699574886,387.4841420518004,60.269689468804586,181.884183538596,145.33026904439973,242.1538730074006,1925.365901176241,15.675794570087008,1.1732314958285008,0.0175083985459064,1010519,32618,58305,176958,1278400
San Bernardino,California,2013,8840,29,17.293137419378738,0.034371250739645,0.8098884911242614,2087945,20106.39,12878,8463,1339,4211,2913,5550,616.7786986726184,405.32676866488345,64.1300417396052,201.6815577038668,139.5151692214115,265.81159944347195,103.8448473346036,19.20421993143504,0.8798218247890102,0.0311629950135509,1136591,43842,163150,334383,1677966
Riverside,California,2013,7390,45,15.594644721792838,0.0263931839258114,0.1605589142194746,2291452,7303.81,14906,10103,1472,5171,3460,6643,650.504570900896,440.89948207512094,64.23874469113908,225.66477499855984,150.995962385422,289.9035196896989,313.7337909940154,18.66997613382705,1.5924494327283418,0.0281268812185039,1236243,47562,153266,351251,1788322
Sacramento,California,2013,3700,54,8.234148091240888,0.0258376386861314,0.580104000000001,1460023,995.65,10530,6842,1072,3305,2465,4377,721.2215150035308,468.6227545730444,73.42350086265765,226.36629696929432,168.83295674109243,299.789797831952,1466.4018480389695,11.104957775105154,0.5211456586565587,0.0251597044453434,844837,33072,99491,202256,1179656
Fresno,California,2013,2920,44,13.120059830555563,0.0279670388888888,0.5785904138888883,953762,6017.89,6425,4101,615,2125,1361,2740,673.648142828085,429.9814838502687,64.48149538354431,222.80191494314096,142.69807352358345,287.28341032668527,158.48777561570583,13.503044387859491,0.9746847610833717,0.0316668458853993,461132,18999,90682,171241,742054
Contra Costa,California,2013,2685,0,9.125991097125834,0.0221449127849355,0.4702499028741325,1094030,802.18,7041,4647,710,2107,1830,2817,643.5838139721945,424.7598329113461,64.89767191027669,192.5906967816239,167.27146421944553,257.48836869190063,1363.8210875364632,9.588319034003586,1.3399917572165494,0.0237555249366176,722220,26749,59709,141952,950630
Santa Barbara,California,2013,2255,51,1.9819095146788883,0.0333074422018348,0.8848569376146815,435800,3789.56,2827,1977,297,963,717,1260,648.6920605782468,453.6484625975218,68.15052776502982,220.97292335933912,164.52501147315283,289.12345112436896,115.00015832972691,3.5954545683237127,0.5479813348212355,0.0335569923214766,257049,12821,31525,76887,378282
Solano,California,2013,1260,23,9.84290930410959,0.0223003561643835,0.5927553739726027,423972,906.85,2844,1896,303,774,819,1077,670.7990150292943,447.1993433528629,71.46698366873284,182.55922560923835,193.1731340748917,254.0262092779712,467.5216408446821,10.214477308783488,0.9525791052547502,0.0225371657019425,264108,12794,34942,68777,380621
Humboldt,California,2013,640,52,1.896940733236158,0.0222451355685131,0.0850591406705538,134555,4052.52,1153,716,109,370,237,479,856.8986659730223,532.1244100925272,81.00776634090148,274.9804912489316,176.13615250269407,355.98825758983315,33.20279727182099,3.1652733343480404,0.3397904530902385,0.0217617395213935,76042,4999,26103,40440,147584
Imperial,California,2013,260,65,12.788434213564187,0.0298950230880231,0.673908623376626,177194,4482.08,839,560,79,334,147,413,473.4923304400826,316.03778908992405,44.58390238947143,188.4939670643476,82.95991963610506,233.077869453819,39.533877128476064,14.007235842008315,0.4821114365419959,0.0256378080763254,102229,2722,21246,40223,166420
Los Angeles,California,2014,62305,43,19.447162473157807,0.0252868119373123,0.4758175781927301,10066615,4752.32,58727,40435,5392,20514,14529,25906,583.3837888903072,401.6742470035856,53.56318881769095,203.78250285721663,144.32855532867802,257.3456916749076,2118.252769173793,22.348745770487263,1.3534572803467515,0.022708946487184,6197573,159464,295914,1066409,7719360
Orange,California,2014,23225,48,11.068672484507047,0.0299235464788732,0.3011387225352125,3134438,947.91,18422,12471,1558,6265,4648,7823,587.7289644906041,397.87036782989486,49.705880288587615,199.87634146855035,148.28814607275692,249.582221757138,3306.6831239252674,12.655346568996595,0.8342266529339698,0.0283352492314085,2116173,63451,115333,420660,2715617
San Diego,California,2014,14300,56,13.539796220720714,0.0264659774774774,0.103239182432432,3258856,4525.92,19928,12896,1630,6292,4974,7922,611.502932317353,395.7216888380463,50.01755217168233,193.07388850565965,152.63024816070424,243.091440677342,720.0427758334217,17.03356922394288,2.0020105057936144,0.0269581581027251,2093481,86896,174684,452957,2808018
Santa Clara,California,2014,11385,51,13.07441987123286,0.0204175342465752,0.2354146547945204,1889824,1304.53,9610,6213,768,2942,2503,3710,508.5129620536092,328.7607734900181,40.63870497993464,155.67587246219753,132.44619604788596,196.31457744213216,1448.6627367710976,12.420298603295985,0.4654635193224358,0.0203385451813147,1311687,40044,64426,191892,1608049
Alameda,California,2014,9010,50,14.286363873972578,0.0201358246575342,0.4894526671232884,1608868,821.26,9323,5977,893,2728,2356,3621,579.4757556244515,371.50344217176297,55.50486428967448,169.56021252209626,146.43836535999222,225.0650768117708,1959.0239388257069,15.43932641594073,0.8762162224537661,0.0172171560950799,1044563,33470,59239,176297,1313569
San Bernardino,California,2014,8900,42,16.532656383285296,0.0327382665706052,0.6952251556195992,2105935,20106.39,12847,8366,1262,4118,2986,5380,610.0378216801563,397.2582249689568,59.92587615477211,195.54259746858284,141.78975134560184,255.46847362335487,104.73958776289528,18.77343140708078,0.8655098779744701,0.0314013122223469,1172703,44554,167732,335200,1720189
Riverside,California,2014,7460,49,15.181102458563595,0.0293384889502761,0.2438253701657461,2322455,7303.81,15051,10294,1381,5129,3784,6510,648.0642251410684,443.2378668262679,59.4629390020474,220.84389148551853,162.93103633870194,280.30683048756595,317.9785618738713,18.10639145365176,1.3969138641779903,0.0280250450404479,1279094,48381,157420,351311,1836206
Sacramento,California,2014,3720,39,6.358848287500003,0.0262905083333333,0.7177100791666681,1478137,995.65,10837,6995,1046,3425,2524,4471,733.1526103466729,473.2308304304676,70.76475319946663,231.71059245523253,170.75548477576842,302.47534565469914,1484.5949881986642,10.43395866109348,0.5040669600905929,0.0252509847575512,870642,32704,102378,202301,1208025
Fresno,California,2014,2915,47,12.2820821043956,0.0298218626373625,0.4810378887362628,963151,6017.89,6320,4004,602,2118,1284,2720,656.1795606296416,415.718822905235,62.5031796675703,219.9032135148071,133.31242972285756,282.4063931823774,160.04795700818724,13.295990868253034,0.8769790001270364,0.0311914122810868,475004,18932,92637,170735,757308
Contra Costa,California,2014,2675,45,7.325887059578379,0.0242125728689277,0.7019523437213562,1108996,802.18,7262,4692,694,2208,1790,2902,654.8265277782788,423.0853853395324,62.57912562353696,199.09900486566227,161.4072548503331,261.67813048919925,1382.4777481363285,9.339389298919784,1.2200004506713829,0.023560891780722,741024,26797,60951,142052,970824
Santa Barbara,California,2014,2330,68,1.311855191176455,0.0335104246323531,0.4924893952205938,440553,3789.56,2892,1920,250,931,739,1181,656.4476918781622,435.8158950228463,56.74686133109978,211.3253115970156,167.74372209473094,268.0721729281153,116.25439364992242,3.271254857362224,0.5791595748397658,0.0335549157789482,263924,13101,32263,77107,386395
Solano,California,2014,1270,66,8.207331180821901,0.0238231589041096,0.637522361643835,429601,906.85,2972,1921,313,787,821,1100,691.8047211249508,447.1591081026348,72.85830340245948,183.19324210139172,191.10756259878352,256.05154550385123,473.7288415945305,10.00839569831047,0.8984165340884747,0.0226206648542925,271387,12906,35933,68391,388617
Humboldt,California,2014,660,60,1.583622667839558,0.0220534989444054,0.2812930693173828,134665,4052.52,1112,718,129,372,217,501,825.7527939702225,533.1749155311328,95.79326476812832,276.24104258716073,161.14060817584377,372.03430735528906,33.22994087629426,3.006731759209055,0.3079490390377779,0.0218221640272835,77714,4972,26742,40425,149853
Imperial,California,2014,265,67,12.24288798273156,0.0281767990580847,0.8098751428571438,178866,4482.08,895,564,72,301,191,373,500.3745820893853,315.31984837811547,40.25359766529134,168.28240135073185,106.7838493620923,208.5359990160232,39.90691821654232,14.157074062808402,0.5364245205764597,0.0267475935561986,106481,2742,21984,40318,171525
Los Angeles,California,2015,62100,53,18.92123218205132,0.0258285316239318,0.4478356188034186,10112255,4752.32,62380,42435,5662,21907,14866,27569,616.8752666937296,419.63933860449526,55.99146777845298,216.6381286864305,147.0097421396118,272.62959646488343,2127.856499562319,21.48356058145964,1.0893496988001805,0.02279220238887,6293639,164152,305743,1075340,7838874
Orange,California,2015,23310,31,11.617734663768116,0.0315613623188406,0.1316449347826085,3156573,947.91,19240,12956,1757,6476,4723,8233,609.5217820085263,410.4451251404609,55.66163050878279,205.1592027176308,149.6242919140473,260.8208332264136,3330.034496945913,12.18062278829279,0.7093824184819514,0.0282752432378964,2248999,64700,117730,400421,2831850
San Diego,California,2015,14470,16,10.771833545454587,0.0293622316715543,0.1025187375366566,3290245,4525.92,20836,13467,1742,6564,5161,8306,633.265911808999,409.3008271420517,52.9443856004644,199.49882151633088,156.8576200252565,252.4432071167953,726.9781613462014,16.410486605701294,1.6035934000977434,0.026955449761912,2152356,89111,179674,460115,2881256
Santa Clara,California,2015,11380,46,12.783799367403324,0.0212829033149171,0.2897990455801102,1910105,1304.53,9969,6404,761,3114,2529,3875,521.9084814709139,335.2695270678837,39.84074173932847,163.0276869596174,132.40109836893782,202.86842869894588,1464.2093320966171,12.529318814618795,0.4271220419011166,0.0203517100255248,1349898,41219,65839,193802,1650758
Alameda,California,2015,9190,14,13.987552335164924,0.0196783104395604,0.7515272225274752,1632747,821.26,9728,6225,971,2920,2334,3891,595.8057188284529,381.2593132922614,59.4703282259897,178.83971001018529,142.94927505608646,238.310038236175,1988.099992694153,15.295206098194711,0.8278707780374563,0.0175819896653867,1082464,34267,60858,178753,1356342
San Bernardino,California,2015,8960,9,14.700072510548514,0.0325759592123767,0.4643676638537272,2122545,20106.39,13470,8775,1292,4372,3111,5664,634.6155205189996,413.4187967746267,60.87032312624703,205.97914296281112,146.5693306855685,266.8494660890582,105.5656932945198,18.31826556910077,0.8481985504234821,0.0315771479703165,1216312,46096,173064,340884,1776356
Riverside,California,2015,7480,15,14.37712467039116,0.0292247122905027,0.2547468924581008,2352892,7303.81,16094,10977,1555,5626,3796,7181,684.0092957942821,466.53225052403593,66.08888125761828,239.1099973989456,161.333371867472,305.1988786565639,322.1458389525467,17.88551569670874,1.0819221735118274,0.0281236796275439,1329526,50420,162256,359997,1902199
Sacramento,California,2015,3750,24,6.698132441091949,0.0245707025862069,1.7524448318965504,1496644,995.65,11345,7377,1095,3708,2574,4803,758.0292975483816,492.9027878373213,73.16369156593018,247.7543089739444,171.9847872974468,320.9180005398745,1503.1828453773917,9.717545316530916,0.5187479989003022,0.0254417278027225,918131,33242,105423,217897,1274693
Fresno,California,2015,2965,37,10.31866531700287,0.0294061757925071,0.4978033357348707,972130,6017.89,6487,4055,583,2148,1324,2731,667.2975836565068,417.1252815981402,59.97140300165616,220.9581023114192,136.19577628506474,280.9295053130754,161.54000820885724,13.169252272770857,0.8274863612031897,0.0310202185756212,492048,19200,95440,173784,780472
