,State,County,year,avg(NO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_fiveyears
18,Maryland,Baltimore,2009,11.537441529780596,801808,682.08,7761,5131,700,2539,1892,3239,967.9374613373776,639.9287610001396,87.30269590724961,316.6593498692954,235.96671522359463,403.962045776545,1175.5336617405585,13.20629008602785
19,New York,Queens,2009,21.5031672354839,2217166,177.35,13946,11136,1092,6678,3366,7770,629.0011663538048,502.2627985455307,49.2520632194432,301.1953096881334,151.81542563795404,350.4473729075766,12501.6408232309,23.800749638118575
20,Iowa,Polk,2009,8.217489834905663,425737,591.94,2848,1965,360,850,755,1210,668.9575958866624,461.5525547462401,84.55924667106687,199.6537768622412,177.33953121293192,284.2130235333081,719.2232320843328,7.942265276914981
21,California,Solano,2009,9.6941072679558,410290,906.85,2685,1755,281,776,698,1057,654.4151697579761,427.7462282775598,68.48814253333008,189.13451461161617,170.1235711326135,257.62265714494623,452.4342504273033,10.38582824116319
22,Maine,Cumberland,2009,10.647339673469387,281969,1217.01,2253,1420,276,610,534,886,799.024006185077,503.6014597349354,97.88310062453674,216.3358383368385,189.38252077356023,314.2189389613752,231.68996146292963,10.272897256302501
23,Oklahoma,Adair,2009,3.106569926966291,22477,577.06,107,76,26,37,13,63,476.0421764470347,338.123415046492,115.6737998843262,164.61271522000268,57.83689994216309,280.2865151043289,38.95088898901328,2.9243527049180376
24,California,Riverside,2009,17.29059325074191,2146725,7303.81,13745,9558,1310,4895,3353,6205,640.2776322071993,445.2363483911539,61.0231864817338,228.021754067242,156.1914078421782,289.0449405489757,293.9185165002923,19.777141573846915
25,Connecticut,Hartford,2009,7.145397725274707,891667,750.61,7655,5086,772,2498,1816,3270,858.5043519609899,570.3923101337159,86.57940688620303,280.14942798152225,203.66347526599057,366.72883486772525,1187.9231558332556,8.315785677717397
26,Tennessee,Blount,2009,0.7605121170886076,122689,566.66,947,567,122,256,189,378,771.8703388241815,462.1441204998004,99.43841746203816,208.657662871162,154.04804016660012,308.09608033320023,216.51254720643772,1.250008350282484
27,North Dakota,Cass,2009,4.921614116343481,147872,1768.0,696,459,68,275,116,343,470.677342566544,310.4035922960398,45.98571737719109,185.9716511577581,78.44622376109068,231.95736853494915,83.63800904977376,5.3477361690962235
28,Massachusetts,Suffolk,2009,18.04838470914126,716214,120.07,4561,2831,358,1288,1185,1646,636.8208384644813,395.2729212218694,49.98506033113008,179.83451873322778,165.4533421575116,229.81957906435787,5964.970433913551,18.704511366886887
29,Virginia,Fairfax,2009,11.246547086592177,1065142,406.81,4464,2877,338,1307,1232,1645,419.0990497041709,270.10483109294347,31.73285815412405,122.70664380899449,115.66532912982495,154.43950196311854,2618.278803372582,10.72527987998643
30,California,Santa Cruz,2009,1.8464602197802213,260009,607.72,1544,1081,169,533,379,702,593.8255983446727,415.7548392555642,64.99775007788192,204.99290409178144,145.76418508590086,269.99065416966334,427.843414730468,3.9132916310439514
31,Connecticut,New Haven,2009,14.263084462083658,860025,862.06,7331,4820,726,2244,1850,2970,852.417080898811,560.4488241620884,84.4161506932938,260.92264759745353,215.11002587134092,345.3387982907474,997.6393754495048,16.38776848899322
32,Oklahoma,Tulsa,2009,8.64548595340499,597748,587.05,5137,3409,544,1773,1092,2317,859.392252253458,570.3072197648507,91.00825096863562,296.613288542998,182.68568025321707,387.62153951163367,1018.2233199897796,11.092659055127877
33,California,Sacramento,2009,10.498705657876425,1408601,995.65,9722,6489,949,3214,2326,4163,690.1883500011713,460.6698419211685,67.37181075407443,228.16965201643333,165.12837915066083,295.54146277050774,1414.7551850549892,12.04595012394012
34,Louisiana,East Baton Rouge,2009,12.875143473684165,437623,470.59,3337,1945,252,971,722,1223,762.5284777079816,444.4464756194259,57.583810722928185,221.88047703160024,164.9821878648974,279.4642877545284,929.9453877047962,15.011647340296022
35,North Carolina,Mecklenburg,2009,9.851958402857155,908704,549.74,4943,2964,435,1344,1185,1779,543.961510018664,326.1788217065183,47.87037363101736,147.90294749445363,130.40550058104728,195.773321125471,1652.9704951431586,12.182680860921703
36,Florida,Orange,2009,6.0279421235631965,1131351,1004.31,6400,4090,598,1850,1642,2448,565.6953500726123,361.5146846557788,52.85715927240972,163.5213121303645,145.1362132530046,216.3784714027742,1126.4958030886878,7.937499089681596
37,Connecticut,Fairfield,2009,7.759988976331328,910421,837.01,6113,4223,616,2079,1528,2695,671.4476050091112,463.85133910575433,67.66100518331629,228.3558924936925,167.8344414287456,296.0168976770087,1087.7062400688164,11.07502286781275
38,Pennsylvania,York,2009,10.58689958411211,433022,910.34,3450,2295,334,1071,890,1405,796.7262633307314,529.9961664765301,77.13233969636647,247.33154435571404,205.5322824244496,324.4638840520805,475.6706285563636,12.940076151527691
39,Iowa,Scott,2009,5.612805556149737,163582,468.2,1123,798,148,398,252,546,686.5058502769253,487.82873421281073,90.47450208458145,243.30305290313115,154.0511792250981,333.77755498771256,349.3848782571551,7.359444850330881
40,New York,Steuben,2009,2.208770680232557,98949,1404.17,764,548,102,301,145,403,772.1149278921465,553.8206550849427,103.08340660340174,304.19711164337184,146.54013683816916,407.2805182467736,70.46796328079932,2.3480828481012668
41,Texas,Bexar,2009,6.755006470506583,1685628,1256.76,10823,6555,932,3263,2360,4195,642.0752384274585,388.8758373733706,55.29096574095827,193.57770516389144,140.00716646852092,248.8686709048497,1341.2489258092237,6.758473986764681
42,Texas,Harris,2009,9.51155337362639,4034866,1777.89,21867,13270,1772,6571,4927,8343,541.9510833817034,328.883288813061,43.91719576313067,162.8554702931894,122.11062275674088,206.77266605632008,2269.4688647779108,13.499905302438034
43,Pennsylvania,Washington,2009,8.624706124999992,207571,861.0,2280,1523,192,771,560,963,1098.419336034417,733.7248459563234,92.49847040289828,371.4391702116384,269.78720534178666,463.9376406145367,241.0813008130081,10.951890805777818
44,California,Fresno,2009,14.242095487671255,921478,6017.89,5991,3935,590,2047,1298,2637,650.1511701852893,427.03135614740665,64.02757309452856,222.1431222449152,140.86066080796286,286.1706953394438,153.12310460975525,15.231664290571972
45,Pennsylvania,Philadelphia,2009,18.313957419310377,1514694,142.68,14463,9383,1214,4675,3494,5889,954.8463253964168,619.4650536676055,80.14820155094031,308.6431979000379,230.67365421662728,388.7913994509782,10616.021867115222,20.902013189825716
46,California,San Bernardino,2009,19.46135621124821,2013960,20106.39,11850,7994,1107,4157,2730,5264,588.3930167431329,396.9294325607262,54.96633498182685,206.40926334187373,135.55383423702554,261.37559832370056,100.16517137089254,19.180901891906434
47,Arizona,Maricopa,2009,19.070795232482343,3803779,9224.86,24649,15443,2435,7182,5826,9617,648.0134624014697,405.9909894870338,64.01528585125477,188.81223120480976,153.1634724309693,252.8275170560645,412.34002467246114,22.286142929128964
48,Pennsylvania,Berks,2009,6.8964399184652185,409904,865.68,3432,2348,314,1204,830,1518,837.2692142550452,572.8170498458176,76.60330223662126,293.72731176080254,202.48643584839377,370.33061399742377,473.5052213288976,13.485687882741805
49,Texas,McLennan,2009,2.0861094810318646,231679,1060.27,1733,1141,184,565,392,749,748.0177314301253,492.4917666253739,79.42023230417948,243.8719089775077,169.19962534368676,323.2921412816872,218.50943627566565,3.151456831616729
50,Illinois,Cook,2009,13.385154903952415,5181728,1634.89,39332,26354,3378,13211,9765,16589,759.0518066560036,508.5948162466266,65.1906082295327,254.9535598935336,188.4506481235603,320.14416812306627,3169.4658356219684,19.09091327914293
51,California,San Diego,2009,17.32447526703513,3061203,4525.92,19086,12785,1589,6359,4837,7948,623.4803768322454,417.64626521011513,51.90769772537136,207.72879158945028,158.00977589529344,259.6364893148217,676.3714338742178,19.65413235337627
52,California,Los Angeles,2009,22.70094853757233,9787400,4752.32,57867,40972,5659,21044,14269,26703,591.239757238899,418.61985818501336,57.81923697815559,215.01113676768088,145.7894844391769,272.8303737458365,2059.499360312437,24.089779193961913
53,Maine,Aroostook,2009,2.4274177082683313,72258,6829.18,622,403,57,201,145,258,860.8043400038749,557.7237122533145,78.88399900357054,278.1698912231172,200.66982202662683,357.0538902266877,10.58077250855886,2.5712319228536877
