,avg(NO2 Mean),avg(CO Mean),avg(O3 Mean),avg(SO2 Mean),population_density,num_factory,Autos,Trucks,Total Vehicles
69,8.008199072268898,0.27325398991596567,0.02865938655462184,0.5033680033613441,1453.5589815698288,3780,814459,199890,1142212
70,10.868746103305735,0.3627640013774099,0.021820052341597836,0.6484455440771341,1409.693912750186,11735,1237223,192836,1529351
71,12.28925044195807,0.3501655251748239,0.027150057342657283,0.148587377622377,702.9538745713578,14490,1971635,455292,2672464
72,9.125991097125834,0.3204317804757206,0.022144912784935536,0.4702499028741325,1363.8210875364632,2685,722220,141952,950630
73,9.84290930410959,0.39599536301369814,0.022300356164383563,0.5927553739726027,467.5216408446821,1260,264108,68777,380621
74,17.293137419378738,0.2422591675295861,0.03437125073964506,0.8098884911242614,103.8448473346036,8840,1136591,334383,1677966
75,12.06329433873585,0.27229976823338636,0.028946632090761808,0.22222703403565616,3283.6197529301307,23190,2050972,389358,2617320
76,18.76484220733789,0.46035953071672486,0.025031463310580242,0.42634437400454955,2107.483502794425,62290,6079057,1080125,7609517
77,16.77293117307687,0.5155763090659338,0.017471412087912124,0.5037992376373628,1925.365901176241,9000,1010519,176958,1278400
78,13.120059830555565,0.4192189861111121,0.027967038888888865,0.5785904138888883,158.48777561570583,2920,461132,171241,742054
79,15.594644721792838,0.4368618446676971,0.026393183925811452,0.16055891421947463,313.7337909940154,7390,1236243,351251,1788322
80,1.9819095146788883,0.1512788981651375,0.033307442201834826,0.8848569376146815,115.00015832972691,2255,257049,76887,378282
81,1.896940733236158,0.2844862179300279,0.02224513556851314,0.08505914067055381,33.20279727182099,640,76042,40440,147584
82,12.088949255813949,0.34523449999999906,0.026862177325581438,0.1274259680232552,711.1082387669247,14295,2040780,456571,2752745
83,8.234148091240888,0.3467399160583937,0.025837638686131422,0.580104000000001,1466.4018480389695,3700,844837,202256,1179656
84,12.242864053645157,0.4024367303989,0.020740484181568077,0.34044811898211774,1431.136884548458,11465,1278949,194011,1575973
85,12.788434213564189,0.48373820634920617,0.029895023088023172,0.673908623376626,39.533877128476064,260,102229,40223,166420
86,6.358848287500003,0.2737028180555552,0.026290508333333327,0.7177100791666681,1484.5949881986642,3720,870642,202301,1208025
87,16.532656383285296,0.2424646224783858,0.03273826657060522,0.6952251556195992,104.73958776289528,8900,1172703,335200,1720189
88,19.447162473157807,0.4984274844948338,0.025286811937312328,0.4758175781927301,2118.252769173793,62305,6197573,1066409,7719360
89,7.325887059578379,0.35308507516040216,0.024212572868927727,0.7019523437213562,1382.4777481363285,2675,741024,142052,970824
90,12.282082104395599,0.34539215109890165,0.029821862637362556,0.48103788873626285,160.04795700818724,2915,475004,170735,757308
91,11.068672484507047,0.2286348183098581,0.029923546478873266,0.30113872253521257,3306.6831239252674,23225,2116173,420660,2715617
92,15.181102458563595,0.40629934668508344,0.02933848895027619,0.2438253701657461,317.9785618738713,7460,1279094,351311,1836206
93,14.286363873972578,0.5100146082191778,0.020135824657534274,0.4894526671232884,1959.0239388257069,9010,1044563,176297,1313569
94,13.074419871232859,0.35271652054794456,0.020417534246575296,0.23541465479452048,1448.6627367710976,11385,1311687,191892,1608049
95,13.539796220720714,0.3615469076576566,0.026465977477477438,0.103239182432432,720.0427758334217,14300,2093481,452957,2808018
96,1.583622667839558,0.27881603026038543,0.02205349894440544,0.28129306931738285,33.22994087629426,660,77714,40425,149853
97,8.207331180821901,0.34675799589041084,0.023823158904109645,0.637522361643835,473.7288415945305,1270,271387,68391,388617
98,12.24288798273156,0.36994106907378377,0.02817679905808479,0.8098751428571438,39.90691821654232,265,106481,40318,171525
99,1.311855191176455,0.18127850919117905,0.0335104246323531,0.4924893952205938,116.25439364992242,2330,263924,77107,386395
100,11.490442866666672,0.36691901805555516,0.029597497222222192,0.7247742472222224,40.11664227323028,240,113104,41485,180672
101,14.700072510548514,0.25756440436005634,0.032575959212376784,0.4643676638537272,105.5656932945198,8960,1216312,340884,1776356
102,13.987552335164924,0.5269873131868136,0.019678310439560472,0.7515272225274752,1988.099992694153,9190,1082464,178753,1356342
103,14.377124670391161,0.347186262569833,0.029224712290502736,0.2547468924581008,322.1458389525467,7480,1329526,359997,1902199
104,10.771833545454589,0.3062779266862155,0.029362231671554308,0.10251873753665663,726.9781613462014,14470,2152356,460115,2881256
105,6.698132441091949,0.28254344109195384,0.024570702586206902,1.7524448318965504,1503.1828453773917,3750,918131,217897,1274693
106,7.19815862775737,0.3822419999999978,0.024999781250000068,0.7556326484374973,1400.2231419382183,2715,765068,144712,999733
107,11.617734663768116,0.2660882971014482,0.031561362318840665,0.13164493478260855,3330.034496945913,23310,2248999,400421,2831850
108,10.31866531700287,0.3266588054755035,0.02940617579250719,0.4978033357348707,161.54000820885724,2965,492048,173784,780472
109,12.783799367403324,0.3670554627071816,0.02128290331491717,0.2897990455801102,1464.2093320966171,11380,1349898,193802,1650758
110,8.255008865013737,0.40022306336088215,0.02362650137741049,0.6528854104683195,478.9336715002481,1250,281622,69828,401635
111,18.921232182051316,0.39142901923076834,0.025828531623931804,0.4478356188034186,2127.856499562319,62100,6293639,1075340,7838874
112,2.155433886671972,0.32346329130087975,0.023788213886671853,0.027078583798882606,33.40711458549249,605,79531,41336,153432
113,1.6869657988774431,0.20296956782039333,0.03371900654817609,0.14103183816651363,117.11517959868692,2390,269520,78114,393926
114,14.343573461538442,0.5321435598290606,0.020602974358974378,0.933726965811966,2006.3122519056085,9095,1065332,181484,1338524
115,6.973924296398887,0.37788485872576083,0.024171268698060987,0.9397426634349041,1415.052731307188,2710,835183,151888,1078329
116,15.338750482758616,0.4770264913793104,0.014376327586206886,0.06924631896551725,162.83365099727644,2910,511209,179820,804865
117,15.283268384615345,0.5125089065934061,0.026515329670329674,0.7990270659340656,40.35693249562703,295,121565,43795,191574
118,11.993263420454547,0.40780538636363634,0.02679735227272728,0.24855913068181817,106.43859986800216,8885,1266253,352320,1841642
119,12.982396495867762,0.363832809917355,0.021163504132231392,0.24467421900826403,1471.3360367335365,11245,1382217,197675,1687346
120,2.014554027472527,0.2651784285714281,0.027172554945055032,0.3646409780219787,33.71877251685371,640,80805,42354,156376
121,9.12213207142857,0.43150748214285733,0.01592410714285715,2.5001772321428573,1521.0766835735449,3865,951840,221756,1313152
122,1.915113168269227,0.15014479807692346,0.03463781971153841,0.1908152235576921,117.73662377690286,2415,276471,80502,403822
123,8.404950016528941,0.42256971900826457,0.023890917355371893,0.6115325330578508,485.42427082759,1240,291731,72621,415729
