State,County,year,Factors,value
California,Humboldt,2015,avg(NO2 Mean),2.155433886671972
California,Imperial,2015,avg(NO2 Mean),11.490442866666672
California,Santa Clara,2016,avg(NO2 Mean),12.982396495867762
California,Alameda,2016,avg(NO2 Mean),14.343573461538442
California,San Bernardino,2016,avg(NO2 Mean),11.993263420454548
California,Sacramento,2016,avg(NO2 Mean),9.12213207142857
California,Fresno,2016,avg(NO2 Mean),15.338750482758616
California,Contra Costa,2016,avg(NO2 Mean),6.973924296398887
California,Santa Barbara,2016,avg(NO2 Mean),1.915113168269227
California,Solano,2016,avg(NO2 Mean),8.404950016528941
California,Humboldt,2016,avg(NO2 Mean),2.014554027472527
California,Imperial,2016,avg(NO2 Mean),15.283268384615344
California,Los Angeles,2010,avg(O3 Mean),0.022612035861258
California,Orange,2010,avg(O3 Mean),0.0269701043956044
California,San Diego,2010,avg(O3 Mean),0.025284785997358
California,Santa Clara,2010,avg(O3 Mean),0.0199510164609053
California,Alameda,2010,avg(O3 Mean),0.0185810992167101
California,San Bernardino,2010,avg(O3 Mean),0.0287982640402348
California,Riverside,2010,avg(O3 Mean),0.031032238267148
California,Sacramento,2010,avg(O3 Mean),0.0251457370820668
California,Fresno,2010,avg(O3 Mean),0.0289471075268817
California,Contra Costa,2010,avg(O3 Mean),0.0239328006362673
California,Santa Barbara,2010,avg(O3 Mean),0.0340792277318642
California,Solano,2010,avg(O3 Mean),0.0230981188811188
California,Humboldt,2010,avg(O3 Mean),0.0228440866574965
California,Imperial,2010,avg(O3 Mean),0.0273100997067448
California,Los Angeles,2011,avg(O3 Mean),0.0227780067317401
California,Orange,2011,avg(O3 Mean),0.026524736231884
California,San Diego,2011,avg(O3 Mean),0.0272791013824884
California,Santa Clara,2011,avg(O3 Mean),0.0209221792717086
California,Alameda,2011,avg(O3 Mean),0.0175916684931506
California,San Bernardino,2011,avg(O3 Mean),0.0289229360465116
California,Riverside,2011,avg(O3 Mean),0.0303645368375702
California,Sacramento,2011,avg(O3 Mean),0.0247622114285714
California,Fresno,2011,avg(O3 Mean),0.0330864480000001
California,Contra Costa,2011,avg(O3 Mean),0.0227857994505495
California,Santa Barbara,2011,avg(O3 Mean),0.033366626747437
California,Solano,2011,avg(O3 Mean),0.0222906657534246
California,Humboldt,2011,avg(O3 Mean),0.0221151759465478
California,Imperial,2011,avg(O3 Mean),0.0263582544910179
California,Los Angeles,2012,avg(O3 Mean),0.0217190167832169
California,Orange,2012,avg(O3 Mean),0.0279154457831325
California,San Diego,2012,avg(O3 Mean),0.0271500573426572
California,Santa Clara,2012,avg(O3 Mean),0.0218200523415978
California,Alameda,2012,avg(O3 Mean),0.0192695126760563
California,San Bernardino,2012,avg(O3 Mean),0.0329341028492007
California,Riverside,2012,avg(O3 Mean),0.0274926476868328
California,Sacramento,2012,avg(O3 Mean),0.0286593865546218
California,Fresno,2012,avg(O3 Mean),0.0331231028192372
California,Contra Costa,2012,avg(O3 Mean),0.0252503771689498
California,Santa Barbara,2012,avg(O3 Mean),0.0347610009242142
California,Solano,2012,avg(O3 Mean),0.0234654863387978
California,Humboldt,2012,avg(O3 Mean),0.0248386470131886
California,Imperial,2012,avg(O3 Mean),0.0272427791411043
California,Los Angeles,2013,avg(O3 Mean),0.0250314633105802
California,Orange,2013,avg(O3 Mean),0.0289466320907618
California,San Diego,2013,avg(O3 Mean),0.0268621773255814
California,Santa Clara,2013,avg(O3 Mean),0.020740484181568
California,Alameda,2013,avg(O3 Mean),0.0174714120879121
California,San Bernardino,2013,avg(O3 Mean),0.034371250739645
California,Riverside,2013,avg(O3 Mean),0.0263931839258114
California,Sacramento,2013,avg(O3 Mean),0.0258376386861314
California,Fresno,2013,avg(O3 Mean),0.0279670388888888
California,Contra Costa,2013,avg(O3 Mean),0.0221449127849355
California,Santa Barbara,2013,avg(O3 Mean),0.0333074422018348
California,Solano,2013,avg(O3 Mean),0.0223003561643835
California,Humboldt,2013,avg(O3 Mean),0.0222451355685131
California,Imperial,2013,avg(O3 Mean),0.0298950230880231
California,Los Angeles,2014,avg(O3 Mean),0.0252868119373123
California,Orange,2014,avg(O3 Mean),0.0299235464788732
California,San Diego,2014,avg(O3 Mean),0.0264659774774774
California,Santa Clara,2014,avg(O3 Mean),0.0204175342465752
California,Alameda,2014,avg(O3 Mean),0.0201358246575342
California,San Bernardino,2014,avg(O3 Mean),0.0327382665706052
California,Riverside,2014,avg(O3 Mean),0.0293384889502761
California,Sacramento,2014,avg(O3 Mean),0.0262905083333333
California,Fresno,2014,avg(O3 Mean),0.0298218626373625
California,Contra Costa,2014,avg(O3 Mean),0.0242125728689277
California,Santa Barbara,2014,avg(O3 Mean),0.0335104246323531
California,Solano,2014,avg(O3 Mean),0.0238231589041096
California,Humboldt,2014,avg(O3 Mean),0.0220534989444054
California,Imperial,2014,avg(O3 Mean),0.0281767990580847
California,Los Angeles,2015,avg(O3 Mean),0.0258285316239318
California,Orange,2015,avg(O3 Mean),0.0315613623188406
California,San Diego,2015,avg(O3 Mean),0.0293622316715543
California,Santa Clara,2015,avg(O3 Mean),0.0212829033149171
California,Alameda,2015,avg(O3 Mean),0.0196783104395604
California,San Bernardino,2015,avg(O3 Mean),0.0325759592123767
California,Riverside,2015,avg(O3 Mean),0.0292247122905027
California,Sacramento,2015,avg(O3 Mean),0.0245707025862069
California,Fresno,2015,avg(O3 Mean),0.0294061757925071
California,Contra Costa,2015,avg(O3 Mean),0.02499978125
California,Santa Barbara,2015,avg(O3 Mean),0.033719006548176
California,Solano,2015,avg(O3 Mean),0.0236265013774104
California,Humboldt,2015,avg(O3 Mean),0.0237882138866718
California,Imperial,2015,avg(O3 Mean),0.0295974972222221
California,Santa Clara,2016,avg(O3 Mean),0.0211635041322313
California,Alameda,2016,avg(O3 Mean),0.0206029743589743
California,San Bernardino,2016,avg(O3 Mean),0.0267973522727272
California,Sacramento,2016,avg(O3 Mean),0.0159241071428571
California,Fresno,2016,avg(O3 Mean),0.0143763275862068
California,Contra Costa,2016,avg(O3 Mean),0.0241712686980609
California,Santa Barbara,2016,avg(O3 Mean),0.0346378197115384
California,Solano,2016,avg(O3 Mean),0.0238909173553718
California,Humboldt,2016,avg(O3 Mean),0.027172554945055
California,Imperial,2016,avg(O3 Mean),0.0265153296703296
California,Los Angeles,2010,avg(SO2 Mean),0.7809418915343903
California,Orange,2010,avg(SO2 Mean),0.5648764587912081
California,San Diego,2010,avg(SO2 Mean),0.5650787060766189
California,Santa Clara,2010,avg(SO2 Mean),0.3903861862139927
California,Alameda,2010,avg(SO2 Mean),0.808043203655351
California,San Bernardino,2010,avg(SO2 Mean),0.8020965461022649
California,Riverside,2010,avg(SO2 Mean),1.2604395794223833
California,Sacramento,2010,avg(SO2 Mean),0.2352619658054723
California,Fresno,2010,avg(SO2 Mean),0.7467599233870963
California,Contra Costa,2010,avg(SO2 Mean),0.9850142958642648
California,Santa Barbara,2010,avg(SO2 Mean),0.6643941418732776
California,Solano,2010,avg(SO2 Mean),0.5491519055944061
California,Humboldt,2010,avg(SO2 Mean),1.2851611980742803
California,Imperial,2010,avg(SO2 Mean),0.4904531964809397
California,Los Angeles,2011,avg(SO2 Mean),0.5349724826657671
California,Orange,2011,avg(SO2 Mean),0.2796479797101447
California,San Diego,2011,avg(SO2 Mean),0.4955426147465439
California,Santa Clara,2011,avg(SO2 Mean),0.6110543949579821
California,Alameda,2011,avg(SO2 Mean),1.0543877369863028
California,San Bernardino,2011,avg(SO2 Mean),1.0335684000726724
California,Riverside,2011,avg(SO2 Mean),0.3017277944851366
California,Sacramento,2011,avg(SO2 Mean),0.2862484100000003
California,Fresno,2011,avg(SO2 Mean),0.7824040231111091
California,Contra Costa,2011,avg(SO2 Mean),1.5727975686813205
California,Santa Barbara,2011,avg(SO2 Mean),0.696728887465052
California,Solano,2011,avg(SO2 Mean),0.8463638068493154
California,Humboldt,2011,avg(SO2 Mean),0.4182973619153687
California,Imperial,2011,avg(SO2 Mean),0.4143639535928142
California,Los Angeles,2012,avg(SO2 Mean),0.5202906629370633
California,Orange,2012,avg(SO2 Mean),0.0704692409638555
California,San Diego,2012,avg(SO2 Mean),0.148587377622377
California,Santa Clara,2012,avg(SO2 Mean),0.6484455440771341
California,Alameda,2012,avg(SO2 Mean),0.7067528267605617
California,San Bernardino,2012,avg(SO2 Mean),0.7724560013898535
California,Riverside,2012,avg(SO2 Mean),0.210976398576513
California,Sacramento,2012,avg(SO2 Mean),0.5033680033613441
California,Fresno,2012,avg(SO2 Mean),0.6447199278606975
California,Contra Costa,2012,avg(SO2 Mean),0.9622410990867596
California,Santa Barbara,2012,avg(SO2 Mean),1.1304053137707897
California,Solano,2012,avg(SO2 Mean),0.6419857814207641
